關鍵字,選區,編號,姓名,政見
公園,[直轄市議員]臺南市第8選舉區,4,沈震東,"● 教育文化
促進校園警衛重返校園，防護校園安全，督促市政提高國小、國中各項
福利，提高教師及學生的福利
推動公立幼兒園，舒緩年輕家長經濟壓力，適性改善12年國教之問題，
與家長、學生及教師三方共商
督促體育教練巡迴校園制度，提升體育專業素質，健全專任教練制度
促生社區公園多樣性，富涵在地文化及故事，打造舒適生活圈
●青年發聲
督促市政包租代管，鼓勵民眾將空屋租賃給青年，使雙方獲益
促生青年創業基金，打造友善年輕創業及工作環境，增設勞動檢查處，
捍衛大臺南勞工權益
●觀光交通
強化赤崁文化心臟，建立美術館文創地帶，創設兵工廠文創市集，打造
眷村意象文化村，捍衛優質民宿提升台南觀光產值和居住品質。
營造低碳生活觀光，推動高效能城鄉公車及悠活T-BIKE，假日加開台南
公車，結合物聯網、app，增加交通便利性，促進觀光悠活大府城。
●社會福利
提高生育津貼補助，增加南市育兒津貼及月嫂服務，減緩新手夫婦壓力
，創造婦女二度就業。
爭取65歲長者健保費補助，長者假牙標準鬆綁，爭取鄰里關懷據點補助
催生閒置國宅提供單親家庭，增設課後輔導班，協助建全照護
促生食物銀行，打造食物流動系統，不浪費在地食物，讓市民愛心循環
●專業監督
監督道路平整，規範管線挖道儘速完成，嚴謹規範挖路條文
定期質詢內容報告民眾，全勤監督問政，用心聽取市民心聲
定期關注淹水問題，強力督促政府改善抽水馬達及蓄洪池"
公園,[直轄市議員]臺南市第8選舉區,11,邱莉莉,"1. 台南美術館即將營運，赤崁文化園區、孔廟文化園區、鎮北坊文化園區復甦可期，將致力整合交通、觀光、文化政策，讓舊城區觀光發揚與文化保存
的同時，也能增加觀光客人潮，開啟城市文化經濟新紀元。
2.歷史紋理重刻劃，爭取市政府於台南舊議會場所設置城事故事館，讓古都也有文化櫥窗，形塑城市意象。
3.要求北區台南公園列入文化景觀必須編獨立預算，為城市留下一座國家級生態公園。並對北區與中西區鄰里公園進行翻新，提升居家生活品質。
4. 台南市是六都中老化指數第二高的城市，長輩就醫醫療資源完備、健保費補助、休憩場所的軟硬體充實、長照據點的功能強化(主張日照中心應配置復
健師和物理治療師) 、老人共餐營養的精進，都必須納入市政府高齡友善城市的旗艦計畫。
5.重視教育，嚴格督促十二年國教的執行與修正，主張廢除體適能列入多元比序計分項目，讓入學制度更平等。
6. 邱莉莉服務處受委託連續十五年發放低收入戶助學金，南市國中小弱勢貧童計有一萬七千名，不能讓他們輸在人生起跑點，要求市府加強補救教學、
英語教學與彌補資訊落差。"
公園,[直轄市議員]臺南市第8選舉區,9,洪玉鳳,"1.堅決反對不合理的房屋稅調漲。
2.爭取65歲以上長者健保補助60％，70歲以上長者健保全額補助不限資格。
3. 育幼福利
(1) 生育津貼：第一胎10000第二胎20000。
(2) 0–2歲育兒津貼：每月3000元，中低收入戶每月4000元，低收入戶每月5000元。
(3) 2–6歲幼教補助：爭取增加公托名額以及私托補助。
4.增加中西區觀光便利性，利用公有土地、公家機關增設公廁。
5.爭取烏橋公園移民署建物收回重新規劃。"
親子/公園,[直轄市議員]臺南市第8選舉區,7,陳怡珍,"※公共設施提升、共創合宜生活
1. 免於淹水之苦，徹底改善北區、中西區排水系統，解決低窪地區排水不良的問題。配合
抽水站運作，建構完整排水系統，以解決社區淹水的隱患，提昇居民生活品質。
2. 持續監督「中國城」景觀改造工程進度，期待中西區藉由中國城活化，能夠煥然一新，
未來與海安路街道美術館結合，讓中西區風華再現。
3. 增加城市之肺，爭取增設綠地及提升台南公園休憩品質。積極要求市府保留原美國學校
之空地，把綠地腹地留給居民和我們的下一代。
4. 持續推動路平專案，並要求全面清查危險路口成因並檢討改善，健全城市安全網絡，要
求提高道路監視器之安裝密度，讓市民平安生活。
5.要求市府活化公有及私有空地，並闢建路外停車場，解決汽、機車停車位不足的問題。
※觀光路線帶動、古都風華再現
1. 持續監督赤崁文化園區改造工程，串聯周邊文化資源，鼓勵老屋活化，打造具文創魅力
之街道博物館。
2. 發展深度觀光，發揚中西區神農街、正興街及新美街等特色巷弄，以及北區鎮北坊文化
園區、公園路321巷藝術聚落，打造專屬旅遊路線。
3. 結合中西區民族路、國華街、保安路、府前路等小吃鬧區，串聯小北觀光夜市及北區、
中西區三大夜市，加上傳統市場活化再造，讓北區、中西區巷弄文化及美食成為台南市
的觀光亮點。
4.讓見證台南傳統漁業與都市發展軌跡的魚市場原地保留，守護文化古都。
5.監督台南美術館園區如期開館，成為全民美術館。
※教育多元活力、樂業繁榮發展
1. 持續關注台南市教育議題，打造優質多元教育環境，爭取實驗教育師資培育中心，並重
視家庭教育，強化親子互動，減輕孩子升學壓力。
2. 打造優質六級體育發展環境，包含大學及就業，讓選手和教練得到完善照護，減少優秀
選手外流，提供多元訓練場地，為台南市體育領域培育更多人才成為台南之光。
3. 健全幼兒托育及長輩托老照護環境，增加生育津貼及托育補助，提升生育率；要求市府
持續推動長照2.0政策，閒置公有建物活用，轉型社區長照服務據點，增加照服員人力與
薪資。讓年輕人安心工作、讓孩子快樂成長、讓長輩尊嚴養老。
4. 監督市府加速打造台南會展中心，成為南台灣經貿櫥窗。鼓勵發展文化創意產業、培育
在地藝術人才，進一步與台南產業結合，型塑在地產業特色。
5.持續推動以台灣主體為本之在地意識及對本土文化之認同。"
公園,[直轄市議員]臺南市第9選舉區,4,周麗津,"南區翻轉 安平躍進
１．爭取大型百貨購物中心，推動灣裡、喜樹、鯤鯓商圈，創造多元生活，更多的就業機會，並串連濱海觀光景點
２．繼續爭取治水工程，檢測易淹水區域，全面規劃排水系統，以求徹底解決淹水之苦
３．增加國際線航廈與國際接軌，增加公車接駁路網
４．打造特色公園，提供多元繽紛的遊玩與休息空間讓大人、小孩都有更好的遊憩環境
５．爭取和緯路延伸連接民權路，直通安平，帶動觀光人潮
６．空地活化及路外停車場興建
７．興建安平跨港大橋改善交通瓶頸，串聯鯤喜灣濱海觀光景點
８．結合古蹟、老屋活化，打造旅遊天堂"
公園,[直轄市議員]臺南市第9選舉區,7,林士傑,"協助年輕人安心成家生育下一代
1.提高生產補助，第一胎2萬，第二胎3萬，第三胎起5萬。
2,四歲以下幼兒每個月補助三千元的育兒津貼。
3. 公立小學均設幼兒園，減少教育費用負擔及教室閒置問題，義務教育
並下修至幼兒園階段。
照顧老人儘速落實長照整體政策
1.爭取設立南區及安平區區域醫院，保障民眾就醫權益。
2.提供補助，積極鼓勵成立社區型老人托顧據點。
力拼南區再起 產業躍進！
1. 力推南山生命文化園區，活化南區再創興盛。
2.整頓老舊公園強化設備，開發綠地居住樂活。
3. 爭取學校建設軟硬經費，就近入學降低負擔。
4.徹底解決南區淹水問題，強力監督預防機制。
5.串聯鯤喜灣等地觀光網，提昇旅遊整體發展。
活化安平繁榮 觀光升級！
1.力推安平民間大型投資，引進百貨繁榮商圈。
2.強力監督漁光島開發案，水域樂園振興觀光。
3.加快61道路安平線工程，截彎取直南北暢通。
4.加速安平跨港大橋興建，聯外道路疏通壅塞。
5.力促觀光遊艇園區發展，提昇觀光熱潮商機。
6.規劃完善漁市成為熱點，結合古蹟頂級旅遊。"
親子/公園,[直轄市議員]臺南市第9選舉區,10,莊玉珠,"『與青年、親子、老人同行，共創新未來』
1.加強穿透式圍牆、充足的保全人力，提升校園安全。
2.比照五都，爭取台南市65歲以上老人免繳健保費。
3.爭取特色公園，打造共容遊憩園地。
4.建立網路公共政策平台，讓市民能參與表達意見。
5.每一活動中心，設立一C點巷弄長照站，造福全市更多老人。
6.幼托收費逐步比照公立，減少家長負擔。
7.中止房屋稅調漲，不溯及既往。
8.爭取共享辦公室、公共住宅，協助青年創業並降低負擔。"
親子/公園,[直轄市議員]臺南市第9選舉區,1,陳嘉伶,"●闢建水岸鐵馬道，加速先進運輸系統落實，實現安平運河親水減碳的人本觀光。
● 串連將軍到安平，一日雙港海陸行，重現17世紀荷蘭與鄭成功眺望台灣的視角
─Iha Formosa航道，進行生態、歷史、與不同地方特色的深度旅遊。
● 讓特色公園也是安心家園，拒絕塑化、水泥公園，使公園結合生態、人文與科
技。
● 鯤喜灣再起，構築台南綠能副都心，並落實公共住宅，將科技人才與青年留在南
區，通盤檢討公眾運輸增進便捷，爭取南區設立地區性醫院。
● 台南機場轉型成東亞南向新基地，結合中央南向政策，增加台南機場通往東亞、
南亞的班次，推動成為區域性的國際機場 。
● 以柔性養灘工法，減緩安平港凸堤效應所造成黃金海岸沙灘的流失，與鯤喜灣部
落風情連線，再造觀光勝地。
● 親子公眾運輸系統與城市公共設施，以友善育兒為第一考量，如移除人行道的障
礙物、座椅設置、步行空間路面整復等，全面提升育兒環境。
讓政治可及，讓城市可親：市政六大主軸
【地方民主】 推動區自治，預算權力下放地方，公民參與決策，改變地方選舉方
式，杜絕金權介入；轉型正義地方落實。
【產業經濟】發展一區一特色，推動地方創生，協助發展地方產業與地方創業。
【勞動社福】 建立社會區域安全網，以區為單位設置並擴大勞檢，強化勞資政三方
平台，青年生根公宅托育，退休安居。
【環境共生】 地方建設強化韌性城市自我防災能力，推動生態民主、生態正義與生
態經濟。
【文化台南】 城市發展以文化歷史為本，強化城市的文化史觀，串連推展地域生態
博物館結合觀光生態，推動台語作為地方第一官方語。
【區域交通】 區間交通網建構拉進城鄉差距，人口密集區域推動先進運輸系統，強
化各類交通的接駁。
社會福利國家連線共同政見：擴大公共運輸，興建公共住宅，廣設公共托育，推動
微型企業與新創事業獎勵。"
公園,[直轄市議員]臺南市第9選舉區,12,蔡淑惠,"一、監督市政建設品質，嚴禁貪瀆力行廉能政府。
二、督促安平自由貿易港區開發儘速完成。
三、 加速推展鯤喜灣文化園區各項文化、休閒、觀光事業，以期成為帶動
南區繁榮原動力。
四、 爭取改善南區、安平區老舊鄰里公園設施，提供市民安全舒室適的休
憩空間。
五、 督促市府全面檢測南區、安平區易淹水地區，並對排水系統做全面性
規劃，徹底解決淹水問題。
六、 充實社區活動中心設備，以凝聚社區守望相助之力量，建立社區保安系統。
七、推動警察、消防弟兄勤務合理化，強化安全設備。
八、關心勞工失業問題及爭取勞工權益。
九、全面推動社會福利，加強各項長照服務整合。
十、堅決反對不合理的房屋稅調漲。
十一、爭取年滿65歲以上長者健保費全免。
十二、 爭取增加身心障礙者的就業機會及相關津貼，全力達到無障礙城市
的目標。
十三、爭取生育獎勵金提高到兩萬元。
十四、 爭取 獎勵民間企業對女性員工之友善措施，包括育嬰假申請托兒補助方案等。
十五、 補助單親或新移民等弱勢婦女參與照服員訓練，增加照顧人力並促進婦女就業。
十六、設置國小弱勢兒童課後才藝班培養兒童競爭力。
十七、爭取重建老舊校舍，以維護學生就學安全。
十八、增加國中小寒暑假照顧班之設置，減輕家長照顧壓力與經濟負擔。"
公園/遊具,[直轄市議員]臺南市第10選舉區,1,李宗霖,"讓政治可及、讓城市可親 - 市政六大主軸：
【地方民主】 推動區自治，預算權力下放地方，公民參與決策，改變地方選舉方式，
杜絕金權介入；轉型正義地方落實。
【產業經濟】 發展一區一特色，推動地方創生，協助發展地方產業與地方創業。
【勞動社福】 建立社會區域安全網，以區為單位設置並擴大勞檢，強化勞資政三方平
台，青年生根公宅托育，退休安居。
【環境共生】 地方建設強化韌性城市自我防災能力，推動生態民主、生態正義與生態經濟。
【文化台南】 城市發展以文化歷史為本，強化城市的文化史觀，串連推展地域生態博物館結合觀光生態，推動台語作為地方第一官方語。
【區域交通】 區間交通網建構拉進城鄉差距，人口密集區域推動先進運輸系統，強化各類交通的接駁。東區是台南各區中發展較為完善的地區，但如今做為縣市合併過後的台南新都心，在大尺度上需配合東區在新區位上的再造，小尺度方面持續打造以人為本的友善城市空間。
●區域交通： a.檢討高架輕軌，避免影響都市天際線 b.提升公車路線、班次 c.增加Tbike站點，建構自行車環境 d.增設鄰里停車格、補助停車場設置 e.舒適步行 - 增加人行步道、友善騎樓空間。
●東區再生： 在發展已逾飽和的東區植入或改善點狀的公共空間，以增進都市生活品質，例如重理夢湖(文化中心與巴克禮公園的夢湖貫通並連結成為新的公共空間)、改善東區圖書館空間、增加林蔭道路等。
●特色公園： a.拒絕罐頭遊具，打造「全齡」友善公園。b.依據鄰里脈絡，設計「特色」公園。c.失修公園體檢。
●福利教育： a.取消朝會跟升旗典禮 b.彈性上學時間、減少上課時數 c.增加社團活動、技能活動時間 d.增加添購圖書經費 e.增加公托比例 f.落實長照政
策 g.打造友善動物環境社會福利國家連線共同政見：擴大公共運輸，興建公共住宅，廣設公共托育，
推動微型企業與新創事業獎勵。"
公園,[直轄市議員]臺南市第10選舉區,9,陳正育,"1伸張社會正義，反對廢除死刑
2為人民把關，勇於揭弊
3在市議會提案要求降房屋稅，減輕市民負擔
4爭取東區蓋立體停車場跟增加停車位，讓店家生意卡好做，努力推動建設，提高台南市民生活品質
5全力推動發展經濟，增加就業
6嚴抓排放空汙跟排放汙水的工廠，守護我們的環境，確保市民的健康
7努力幫助弱勢團體爭取經費、改善設備
8推動寵物公園
9推動東區觀光，希望打造國賓商圈成為台南市東區西門町，讓更多人可以來東區遊玩，帶動台南市東區商機
10推動街頭藝人表演專區場地，提高東區市民休閒娛樂的地方"
公園,[直轄市議員]臺南市第10選舉區,10,蔡筱薇,"【六大創新概念，打造更好、更進步的城市生活新風貌】
蔡筱薇，十年磨練，新好世代。
在反抗威權、追求民主的家庭中成長，以「堅持台灣國家主權意識、守護台南文化傳統
價值」為最高信念。她更期許自己未來能扮演台南加速進步的一股新動力，透過青年新市政
提案論壇、六大創新概念的實踐，打造更好、更進步的城市新風貌。
◎老弱婦幼新權益：
1. 優先關懷弱勢權益，每年定期提出年度檢討報告，為弱勢者爭取更完善的社會救助照
顧。
2.嚴密督促教育制度與環境健全發展，讓下一代快樂學習、健康成長。
3. 社區公園普設銀髮族休閒、健身專用設施；定期推動老年醫療保健講座；強化獨居者之
訪視與協助。
4.要求公部門開辦各類婦女公益學苑，提供第二專長求職學習平台。
◎青創就業新契機：
地方創生資源大盤點，打造台南為文化生活產業重鎮；鼓勵新創企業以提升青年就業。
◎便捷路網新氣象：
督促新市府團隊完善落實鐵路地下化、高架輕軌等既定重大交通建設計畫。持續以便捷交
通路網，提升城市整體競爭力。
◎藝文休閒新佈局：
1.爭取建置東區第一條五星級單車休閒專用道，推動綠能宜居新生活概念。
2. 推動公共藝術普及化概念，爭取設置東區戶外雕塑公園，促進觀光交流與提升美學鑑賞
能力。
◎智慧科技新都會：
以「智慧科技新都會」為目標，督促市府投入AIoT智慧產業發展、從數位治理到生活產業
科技應用，逐步邁入人工智慧結合物聯網的嶄新時代。
◎議會監督新觀念：
主張議會議事全面透明化，接受市民更嚴格的監督與評比。未來將定期向市民報告問政成
果。
歡迎加入蔡筱薇Line@好友，請搜尋ID：@ilh3188k 感謝！"
公園,[直轄市議員]臺南市第11選舉區,10,江國銘,"一、 推動農業、生態村，打穩社區觀光產業基礎
「推動農業，從青農開始、推動觀光，從生態村開始」、「推動生態農村、培育青年農民、結合科技農業、打穩在地農業基礎」、「強化國際和兩
岸農業交流、擴大農產品外銷市場、通路」、「協助復育在地荒廢農地，擴大契作農業，建立在地特色農產」
二、 連結在地資源，推動社區營造，增加就業機會
「連結「社區＋學校＋公部門＋企業＋議會」資源，推動社區營造」、「設立社區營造中心，結集社造相關人士」、「建立新豐區學、產、官、研
平台，媒合創造合作機會、互惠共榮」、「整合社區資源，規劃特色活動，創建地方產業教學平台，並引進觀光客源」
三、推動文化社區，打造創新求變的新豐區
「改變社區，從文化開始」、「集結在地文史工作者，建立在地文史藝術分享平台」、「推動城市外交，爭取台南與其他國家或縣市的交流論壇，
分享彼此的文史、行銷在地」
四、推動綠能經濟，維護和保育自然生態
「提倡循環經濟的概念，友善環境、減少廢棄物」、「協助沙崙綠能科學城，與在地農業連結，共同推動生態、經濟發展」、「爭取龍崎國家級地
景公園，推動環境教育觀光」"
公園,[直轄市議員]臺南市第11選舉區,6,許又仁,"志工精神為民服務　關懷婦幼推動長照　守護教育力挺勞工　捍衛土地發展新豐
主張台南市國土計劃將新豐區規劃為主要發展核心區，促進地方發展形成新豐新都心，創造年輕人返鄉就業的機會。
反對經濟部工業局在龍崎區設立全國唯一的特殊事業廢棄物最終掩埋場，把獨特白堊泥岩地質景觀留給後代子孫，並維護二仁溪流域的自然生態環境
以保護下游濕地。
要求市府建立道路及排水溝渠的品質維護修繕管制表，接受市民直接反應，並上網公告提供進度查詢，經由公開透明機制讓政府的有限經費充分利
用，造福市民。
確保勞權照顧基層勞工，新豐區增設勞工服務中心及市府增設勞檢處；要求市府勞動安全基金增加至4億元，勞工權益受損打官司免煩惱。
協助青年返鄉投入推動有機農業，促進農業產銷班有效運作，並重視農業水利設施建設。
推動社區總體營造，重視宗教文化歷史資產維護，建設村里好望角讓社區綠化有美感；重視市民運動休閒，改善各區運動公園設施，提升市民運動安
全的保障。
支持廣設公立托嬰中心及要求公幼合理增班，降低年輕父母育兒負擔；要求新豐區內三所專設幼兒園應聘足正式幼教師，以提升區內幼兒教育照顧品
質。
重視孩子藝術、體育及特殊專長發展，主張新豐區內公立國民中小學應有依「藝術才能法」及「國民體育法」所設立的音樂專班、美術專班、舞蹈專
班及體育專班。
反對一再調漲房屋稅及地價稅，不合理調升應凍漲；檢討房屋稅及地價稅的稅收使用方式，挹注學校教育提升孩子教育品質。
65歲以上長者比照五都免負擔健保費，增設長照日托據點，讓年輕人安心上班。"
公園,[直轄市議員]臺南市第11選舉區,4,郭鴻儀,"27年行政專業-發現問題 徹底解決
一、 督促市政府打造宜居幸福生活環境
1.爭取營建署人本道路計畫，規劃新豐區道路系統人行空間建設，友善行人用路品質。
2.持續推動路平專案，整合老舊管線汰換、孔蓋減量、改善安全島等，提供鄉親平整安全的用路環境。
3.推行『福老喜幼』政策，落實育兒、托育津貼及補助年長者健保費，依循長照2.0政策社區整體照顧模式，建構新豐區專屬長照服務體系。
4.積極開闢鄰里公園，實現一里一公園，整合社區營造，並全力爭取設置新豐國民運動中心，打造優質人本環境。
5.關注里鄰長權益，爭取鄰長工作費及擴大提供社區發展資源，健全社區總體營造效能。
二、爭取新豐區經濟動能建設
1.爭取捷運藍線延伸至歸仁圓環、關廟國中，擴大先進運輸系統服務範圍，提供新豐區便捷交通路網。
2.仁德轉運站進階成為仁德物流金融行銷中心，整合新豐產業鏈。
3.促進沙崙智慧綠能科學城效益，整合都市計畫，增闢綠能產業專區，擴展綠色智慧產業鏈。
4.推動縱貫鐵路仁德區段高架化，改善虎山路平交道、潭稅橋地下道、保安工業區平交道、中洲平交道交通瓶頸。
三、推動前瞻計畫振興新豐區域發展
1.督促市政府落實完善前瞻基礎建設各項計畫。
2. 以治水、利水、親水為目標，推動三爺溪與二仁溪整體水域整治，提高整治保護標準，降低水患發生頻率，營造關廟、龍崎區現有埤塘水岸生態
環境，包含大潭埤(弼衣潭)、下湖埤、埤仔頭埤及牛埔農塘等，創造觀光休閒契機。
3.加速仁德、歸仁、關廟汙水處理廠整併，提升汙水管線接管率，改善環境品質。"
親子/公園,[直轄市議員]臺南市第11選舉區,9,陳文清,"1.行動式服務，您叫我就來，加速服務效率。
2.強力爭取農路建設，以利農產品順利運輸。
3.強力爭取鄰長福利比照其他五都。
4.凍漲房屋稅。
5.爭取關廟森林公園開發建設成為休閒觀光景點。
6.龍崎山坡地保育區適度解禁，以利地方發展。
7.爭取高鐵特定區加速開發，促進地方繁榮。
8.老人免繳健保費。
9.爭取新豐區各社區活動中心軟硬體設備更新，提昇親子休閒娛樂空間。
10.監督市府關注學童學習設備改善及幼兒多元托育教育系統。
11.整合新豐區文化特色景點，督促觀光局規劃旅遊網行銷新豐區。"
親子,[直轄市議員]臺南市第11選舉區,1,劉正昌,"下個4年，為您做到-
壹、在地服務，隨時發聲
（一）每週定時定點於各區服務處受理民眾諮詢與求助案件。
（二）結合專業人士於服務處提供法律、稅務服務。
貳、照顧婦幼，安心托養
（一）爭取於歸仁增設親子悠遊館與社區公共托育家園。
（二）爭取於關廟、龍崎提供兒童外展服務，照顧偏鄉幼兒、媽媽。
（三）倡議設立公托或平價托嬰中心，紓減父母托養負擔。
（四）爭取延長夜間托育或臨托，當家長有突發事件需處理而無其他支援時，有地方可安心送托。
參、老人照顧，無微不至
（一）爭取擴大老人健保費補助對象至未達綜合所得稅稅率5%者。
（二）爭取修繕老舊社區或老人文康中心，提供優質安全的活動空間。
肆、宜居南關，在地建設
（一）爭取86快速道路通往國道三號之交流道高架化。
（二）重視受災戶（地震，風災，水災）後續照顧，加速補助效率及受到合宜關照。
（三）支持凍漲房屋稅，減輕市民負擔。
（四）監督各項治水、交通工程進度，如高鐵會展中心綠能科技，加強建設速度。
（五）爭取打造學童安全受教環境與健康飲食。
伍、東奧正名、臺灣中國，一邊一國"
公園,[直轄市議員]臺南市第13選舉區,2,谷暮‧哈就Kumu‧Hacyo,"1、爭取台南原住民健保減免，以積極照顧族人健康衛生。
2、 成立台南原住民0-2歲托育中心及老人照顧安養中心，減輕族人家
庭經濟與照顧負擔。
3、 協助台南原住民各教會辦理活動及增加各協會活動補助經費，以
積極發展原住民教育、文化及體育等各項活動。
4、 持續監督「原住民聚會所」﹙現永康區公所﹚改建工程，創造一
個適合族人聚會與活動的「家」且兼具行政與諮詢功能，協助族
人解決生活各問題﹔並爭取設置「原住民體育公園」，做為大型
體育競技及戶外活動之用，使族人有充足的運動場域。
5、 持續推動「台南札哈木原住民族文創園區」改建工程，積極發展
原住民族傳統與現代之文化、藝術、歌謠與舞蹈，並建構原鄉與
台南原住民農特產銷平台與據點，成為台南新亮點。
6、 持續推動與建構更完善之民族教育政策，提升族語文化的地位﹔
增加原住民優秀學童獎補助名額，及積極培育發展各領域專長之
人才。
7、 建置台南原住民勞工就業、職能輔導、勞資協調、法律協助與溫
暖陪同等全面性的服務平台，讓族人安心就業與生活。
8、 建構安全、便宜及便利之租屋服務平台，並爭取建立原住民安全
社會住宅政策，讓族人安居樂業，實現居住正義。
9、 建置完善的「台南市原住民資訊服務網APP」，使資訊更普及，
使廣為分布37區的族人們透過手機即可獲得更方便、全面、立即
及雙向的溝通服務。
10、 持續深入地推動「台南市族群主流化政策」，強力督促市府各單
位提出更友善且務實之族群政策。"
公園,[直轄市議員]臺南市第12選舉區,2,簡德輝,"臺南市 第十二選區 平地原住民議員候選人 簡德輝 政見稿
一、持續現行族語振興計劃，並提升寒暑假學生安親資源。
二、響應世界趨勢，提倡循環經濟，原住民優先鼓勵創業。
三、配合臺南市政府宅經濟計劃：原住民優先輔導創業。
四、 輔導城市、原鄉農業經濟共同運銷。成立行銷平台與管道，推廣
本市族人自耕農產品和原鄉農產品的銷售。
五、成立臺南市原住民救急基金。輔導族人汽、機車保險輔助申請。
六、 終極目標：爭取成立臺南市創意園區暨文化主題公園，推動都會
型部落會議，凝聚族人共識並提供族人文化交流、全人教育、經濟商圈、體育活動等。
七、 建構學校、民間企業、政府合作機制，保障各類人才升學與出路。
八、 提倡原住民多元就業管道，並開創多元課程協助自身技能能力提升。
九、 整合本市社會救助資源（包括政府、民間多方資源），提供族人急難援助。
十、 積極爭取臺南市原住民文化團體演出場次，延續本市原住民文化傳承。"
親子/共融/公園/遊戲,[直轄市長]桃園市,5,鄭文燦,"讓市民看見幸福，讓桃園看見天光
一、桃園升級：以航空城、軌道建設及亞洲矽谷等三支箭，讓桃園轉型。
二、捷運建設：實現三心六線，綠線動工，中壢線、埔頂線、三鶯線八德段、龜山棕線定案，塑造桃園、中壢及航空城為三大都會核心。
三、交通轉型：增設龍潭高原、桃園中正北、中壢中豐北等交流道，完成國一甲、國二延伸台15線、66銜接北二高。推動人本交通，包括路平、開瓶、電纜地下化、騎樓平整，客運轉運站及停車場。
四、健康城市：以生活圈為基準，增加親子館、公托、日照、公幼等設施，讓福利到家。興辦公有民營市立醫院。
五、根留台灣：開發在地型產業園區，讓企業選擇桃園。協助勞資對等協商，創造雙贏。
六、樂活城市：閒置空間活化、公辦都更、廣設公園及共融式遊戲設施。社會住宅、運動中心、圖書館普及化。
七、安全城市：支持警消權益，工安、勞安與消安升級。完成天羅地網、空氣盒子佈建。
八、文化綠洲：完成總圖書館、市立美術館、桃園會展中心、流行音樂劇場、中路美術館、原住民文創中心等六大文化地標。興建茶葉故事館、乙未戰爭紀念公園、海螺廣場、崙坪地景公園等四大客家亮點。
九、永續城市：推動綠色交通、下水道接管、親水綠帶。嚴格執行空污減量、河川保育，並保護濕地、沙丘、藻礁、石滬等生態亮點。
十、魅力城市：深耕閩南、客家、眷村、原住民、新住民、馬祖、滇緬的節慶，讓文化走入生活。
十一、智慧城市：以市民卡推動智慧生活與行動支付。完成虎頭山、青埔、幼獅及中原等四大創新研發基地。
十二、教育城市：推動雙語、數位及機器人教育。支持社區大學，完成原住民實驗高中，推動更多大學在桃園設置校區。"
